Start Task       : 2021-08-03-1048
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 4
Doc Max.         : 13
G Tote L.        : 17
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"0c3f191c-bd37-4f6b-a98f-85ef196458b9","truckload_no":"TM21070105","tm_index":"c472d7b4-464e-4b8a-8c82-89cbb0d5c0d1","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"4","docreturn_max":"13","return_tote_qty_xl":17,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070062
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 7
Tote M Max.      : 3
Doc Max.         : 5
G Tote L.        : 7
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 5
Send TMS         : {"truckload_index":"3bb96143-a691-4d98-ba1b-8639b4030950","truckload_no":"TM21070062","tm_index":"cefbf454-5208-4973-ae7c-f7c8e0db4c91","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"7","return_tote_max_m":"3","docreturn_max":"5","return_tote_qty_xl":7,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":5}
Send TMS Result  : False
Truckload No.    : TM21070025
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 6
Doc Max.         : 14
G Tote L.        : 13
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
Send TMS         : {"truckload_index":"00c3facc-68a0-403b-a79e-879d8e8088c5","truckload_no":"TM21070025","tm_index":"d1778f30-64b9-44ad-bb65-143339c95e0d","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"6","docreturn_max":"14","return_tote_qty_xl":13,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070061
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 4
Doc Max.         : 9
G Tote L.        : 10
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 9
Send TMS         : {"truckload_index":"434768f4-6046-43fe-9e8b-880bb64607e6","truckload_no":"TM21070061","tm_index":"5fed575d-e18b-4959-b35d-537446011678","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"4","docreturn_max":"9","return_tote_qty_xl":10,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":9}
Send TMS Result  : False
Truckload No.    : TM21070044
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 6
Doc Max.         : 14
G Tote L.        : 13
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
Send TMS         : {"truckload_index":"d4ee5e5b-0f1a-4fa7-a97f-8a900f6149dc","truckload_no":"TM21070044","tm_index":"beefd3c3-365b-49fa-94a5-a4650a84f8fe","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"6","docreturn_max":"14","return_tote_qty_xl":13,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070070
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 20
Tote M Max.      : 4
Doc Max.         : 14
G Tote L.        : 20
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
Send TMS         : {"truckload_index":"349e9236-b69e-425d-9b42-8b39d00b36bd","truckload_no":"TM21070070","tm_index":"daf196f4-49d5-45af-a793-31ab20768ae7","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"20","return_tote_max_m":"4","docreturn_max":"14","return_tote_qty_xl":20,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070063
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 5
Tote M Max.      : 2
Doc Max.         : 6
G Tote L.        : 5
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 6
Send TMS         : {"truckload_index":"621e8989-6b95-4684-99a5-8b7edb01e275","truckload_no":"TM21070063","tm_index":"2387f6a7-2b7c-42b3-be83-956ee7e89a7a","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"5","return_tote_max_m":"2","docreturn_max":"6","return_tote_qty_xl":5,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":6}
Send TMS Result  : False
Truckload No.    : TM21070085
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 5
Doc Max.         : 6
G Tote L.        : 8
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 6
Send TMS         : {"truckload_index":"496c30d1-a917-43e2-87f3-8eba485e5a68","truckload_no":"TM21070085","tm_index":"46a568f0-5ed5-4292-8740-6177274eacc1","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"5","docreturn_max":"6","return_tote_qty_xl":8,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":6}
Send TMS Result  : False
Truckload No.    : TM21070116
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 18
Tote M Max.      : 10
Doc Max.         : 20
G Tote L.        : 18
G Tote M.        : 10
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 20
Send TMS         : {"truckload_index":"ccbc7fff-96f5-4d8c-b2b3-8efb60e22fad","truckload_no":"TM21070116","tm_index":"c60b8b11-8ca0-4cac-9f86-c790989c1558","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"18","return_tote_max_m":"10","docreturn_max":"20","return_tote_qty_xl":18,"return_tote_qty_m":10,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":20}
Send TMS Result  : False
Truckload No.    : TM21070086
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 5
Doc Max.         : 11
G Tote L.        : 12
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 11
Send TMS         : {"truckload_index":"0e87fc8d-d326-495c-94a2-8f4a96629c16","truckload_no":"TM21070086","tm_index":"752b2768-8e26-4974-8f3f-3bda36858e16","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"5","docreturn_max":"11","return_tote_qty_xl":12,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":11}
Send TMS Result  : False
Truckload No.    : TM21070072
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 22
Tote M Max.      : 4
Doc Max.         : 13
G Tote L.        : 22
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"1f10e8e9-ec32-44c0-859a-8f7d352a983a","truckload_no":"TM21070072","tm_index":"4bdb976d-69aa-44f7-9d62-f4d71b5240ea","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"22","return_tote_max_m":"4","docreturn_max":"13","return_tote_qty_xl":22,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070080
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 3
Doc Max.         : 10
G Tote L.        : 15
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 10
Send TMS         : {"truckload_index":"5b4e31f6-e4d2-479c-be7b-90f255cc0d55","truckload_no":"TM21070080","tm_index":"a2069217-73b2-4e7b-ae19-02759099ad39","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"3","docreturn_max":"10","return_tote_qty_xl":15,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":10}
Send TMS Result  : False
Truckload No.    : TM21070092
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 11
Tote M Max.      : 3
Doc Max.         : 8
G Tote L.        : 11
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 8
Send TMS         : {"truckload_index":"2ae7bed2-36c0-4969-8e1f-93025a7e47f6","truckload_no":"TM21070092","tm_index":"0f7438e4-7e07-46fc-b085-16edca131854","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"11","return_tote_max_m":"3","docreturn_max":"8","return_tote_qty_xl":11,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":8}
Send TMS Result  : False
Truckload No.    : TM21070122
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 6
Doc Max.         : 19
G Tote L.        : 16
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 19
Send TMS         : {"truckload_index":"3f06dfd2-7999-4d60-b0bb-94ccaede59ba","truckload_no":"TM21070122","tm_index":"b0573e09-3490-493c-9a67-02b0693388df","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"6","docreturn_max":"19","return_tote_qty_xl":16,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":19}
Send TMS Result  : False
Truckload No.    : TM21070094
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 7
Doc Max.         : 12
G Tote L.        : 13
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"4facbd33-9fa8-4f06-90d4-96754d6cb0ed","truckload_no":"TM21070094","tm_index":"80838a22-28a6-40b8-ba9d-3c70b5ccf442","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"7","docreturn_max":"12","return_tote_qty_xl":13,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070076
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 9
Tote M Max.      : 5
Doc Max.         : 10
G Tote L.        : 9
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 10
Send TMS         : {"truckload_index":"82bac5c1-a586-4a22-b0f8-96e43939eb59","truckload_no":"TM21070076","tm_index":"52257489-205f-4dc8-bfc5-b4dec2bdac9e","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"9","return_tote_max_m":"5","docreturn_max":"10","return_tote_qty_xl":9,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":10}
Send TMS Result  : False
Truckload No.    : TM21070045
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 20
Tote M Max.      : 7
Doc Max.         : 20
G Tote L.        : 20
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 20
Send TMS         : {"truckload_index":"bc57198f-876d-4ee8-babe-98c1e57515ea","truckload_no":"TM21070045","tm_index":"fc0bdc49-d2b8-4b22-8472-3ef5737ae477","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"20","return_tote_max_m":"7","docreturn_max":"20","return_tote_qty_xl":20,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":20}
Send TMS Result  : False
Truckload No.    : TM21070026
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 3
Tote M Max.      : 3
Doc Max.         : 4
G Tote L.        : 3
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 4
Send TMS         : {"truckload_index":"105e56f2-a8a2-483e-8ebb-9936b3e43d1e","truckload_no":"TM21070026","tm_index":"b97a9217-d3dd-4112-b3aa-f27683c6b255","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"3","return_tote_max_m":"3","docreturn_max":"4","return_tote_qty_xl":3,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":4}
Send TMS Result  : False
Truckload No.    : TM21070089
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 4
Doc Max.         : 11
G Tote L.        : 13
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 11
Send TMS         : {"truckload_index":"2551a353-1005-4e08-8a26-99e2edfaf0cc","truckload_no":"TM21070089","tm_index":"2c24dd8d-f21e-49db-a938-84efc27951bb","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"4","docreturn_max":"11","return_tote_qty_xl":13,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":11}
Send TMS Result  : False
Truckload No.    : TM21070069
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 3
Doc Max.         : 7
G Tote L.        : 8
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 7
Send TMS         : {"truckload_index":"bd61e155-db53-4d6c-ac59-9c44f69fe7c9","truckload_no":"TM21070069","tm_index":"1236361d-6e0a-4948-b563-8ab616658951","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"3","docreturn_max":"7","return_tote_qty_xl":8,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":7}
Send TMS Result  : False
Truckload No.    : TM21070055
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 9
Tote M Max.      : 0
Doc Max.         : 7
G Tote L.        : 9
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 7
Send TMS         : {"truckload_index":"3b59deec-08b5-401c-9165-9e76f2df73a7","truckload_no":"TM21070055","tm_index":"a2a0cc68-bdc5-40a1-8902-c90ceec145f2","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"9","return_tote_max_m":"0","docreturn_max":"7","return_tote_qty_xl":9,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":7}
Send TMS Result  : False
Truckload No.    : TM21070049
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 2
Doc Max.         : 7
G Tote L.        : 12
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 7
Send TMS         : {"truckload_index":"8082f563-9a63-4b81-aac2-ab38a5fd077a","truckload_no":"TM21070049","tm_index":"d37760e3-7878-47db-ae02-ced62affacb3","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"2","docreturn_max":"7","return_tote_qty_xl":12,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":7}
Send TMS Result  : False
Truckload No.    : TM21070052
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 19
Tote M Max.      : 1
Doc Max.         : 6
G Tote L.        : 19
G Tote M.        : 1
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 6
Send TMS         : {"truckload_index":"42a7fa2c-de3b-40f1-8b04-ab93d01f13b5","truckload_no":"TM21070052","tm_index":"aa335f60-6554-41a7-86c3-62c693923f21","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"19","return_tote_max_m":"1","docreturn_max":"6","return_tote_qty_xl":19,"return_tote_qty_m":1,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":6}
Send TMS Result  : False
Truckload No.    : TM21070054
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 0
Doc Max.         : 2
G Tote L.        : 12
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 2
Send TMS         : {"truckload_index":"b2544a0c-f999-435c-8b7e-aba5f15f794b","truckload_no":"TM21070054","tm_index":"6ed30615-f4fb-4038-b378-22470a0199d5","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"0","docreturn_max":"2","return_tote_qty_xl":12,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":2}
Send TMS Result  : False
Truckload No.    : TM21070117
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 25
Tote M Max.      : 3
Doc Max.         : 15
G Tote L.        : 25
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 15
Send TMS         : {"truckload_index":"23e5f233-3978-4262-a0cd-abf5a4c20b9f","truckload_no":"TM21070117","tm_index":"d3770ed4-f90c-4c94-b431-de7e45a5aafb","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"25","return_tote_max_m":"3","docreturn_max":"15","return_tote_qty_xl":25,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":15}
Send TMS Result  : False
Truckload No.    : TM21070109
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 6
Doc Max.         : 19
G Tote L.        : 15
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 19
Send TMS         : {"truckload_index":"3aaf536e-ba13-4853-8dd4-ac7ae5878a68","truckload_no":"TM21070109","tm_index":"041fe699-ce55-4719-ac23-9daadf655751","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"6","docreturn_max":"19","return_tote_qty_xl":15,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":19}
Send TMS Result  : False
Truckload No.    : TM21070010
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 1
Doc Max.         : 11
G Tote L.        : 17
G Tote M.        : 1
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 11
Send TMS         : {"truckload_index":"222a0703-1e97-489e-9964-b04e7eb03d37","truckload_no":"TM21070010","tm_index":"769ab95d-063b-4d52-9f33-168cc9f9c8ef","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"1","docreturn_max":"11","return_tote_qty_xl":17,"return_tote_qty_m":1,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":11}
Send TMS Result  : False
Truckload No.    : TM21070047
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 7
Doc Max.         : 14
G Tote L.        : 12
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
Send TMS         : {"truckload_index":"cee3b0c6-86c4-45df-9e87-bb0c39d0a400","truckload_no":"TM21070047","tm_index":"4b142084-c5d5-4733-a1a2-21b617588234","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"7","docreturn_max":"14","return_tote_qty_xl":12,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070118
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 21
Tote M Max.      : 10
Doc Max.         : 22
G Tote L.        : 21
G Tote M.        : 10
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 22
Send TMS         : {"truckload_index":"6334ca7b-8941-4a09-8f19-bcafe8645ccb","truckload_no":"TM21070118","tm_index":"a60cea40-b0e2-49d6-bf27-ccdda9a33239","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"21","return_tote_max_m":"10","docreturn_max":"22","return_tote_qty_xl":21,"return_tote_qty_m":10,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":22}
Send TMS Result  : False
Truckload No.    : TM21070032
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 10
Doc Max.         : 23
G Tote L.        : 12
G Tote M.        : 10
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 23
Send TMS         : {"truckload_index":"8cb26518-eee9-447a-87fc-bd0ff8890749","truckload_no":"TM21070032","tm_index":"5bb01df8-c43d-4ef0-9afd-95853e12cd92","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"10","docreturn_max":"23","return_tote_qty_xl":12,"return_tote_qty_m":10,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":23}
Send TMS Result  : False
Truckload No.    : TM21070022
Return Date.     : 7/6/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 7
Doc Max.         : 15
G Tote L.        : 16
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 15
Send TMS         : {"truckload_index":"5d92700c-2e62-4c65-8721-bfdc05874056","truckload_no":"TM21070022","tm_index":"1daf4886-e3a4-4a17-98d2-d903e2915558","truckload_return_date":"2021-07-06T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"7","docreturn_max":"15","return_tote_qty_xl":16,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":15}
Send TMS Result  : False
Truckload No.    : TM21070120
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 5
Doc Max.         : 19
G Tote L.        : 17
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 19
Send TMS         : {"truckload_index":"8fe5c892-a864-4dce-9366-c8271be16c3d","truckload_no":"TM21070120","tm_index":"37062b66-67ae-471a-9e15-b31a88fedc0f","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"5","docreturn_max":"19","return_tote_qty_xl":17,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":19}
Send TMS Result  : False
Truckload No.    : TM21070073
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 14
Tote M Max.      : 4
Doc Max.         : 10
G Tote L.        : 14
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 10
Send TMS         : {"truckload_index":"456133c5-5399-4c56-b61b-c86aeff599d0","truckload_no":"TM21070073","tm_index":"4738a19a-1f9d-4831-8af0-4c424829474c","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"14","return_tote_max_m":"4","docreturn_max":"10","return_tote_qty_xl":14,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":10}
Send TMS Result  : False
Truckload No.    : TM21070060
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 19
Tote M Max.      : 5
Doc Max.         : 13
G Tote L.        : 19
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"b12404ad-c1dc-497d-a079-c8820f763eff","truckload_no":"TM21070060","tm_index":"3a50325b-9c0a-472b-9a85-3cafb0dffbe8","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"19","return_tote_max_m":"5","docreturn_max":"13","return_tote_qty_xl":19,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070059
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 6
Doc Max.         : 16
G Tote L.        : 15
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 16
Send TMS         : {"truckload_index":"ecc567f4-1b29-41ff-9ed4-c8d02e89c8c2","truckload_no":"TM21070059","tm_index":"616e18e4-3f2d-4747-9bf5-465c777d33ec","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"6","docreturn_max":"16","return_tote_qty_xl":15,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":16}
Send TMS Result  : False
Truckload No.    : TM21070091
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 14
Tote M Max.      : 8
Doc Max.         : 12
G Tote L.        : 14
G Tote M.        : 8
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"92159efe-420a-47e1-b498-ca0b60d9a2ff","truckload_no":"TM21070091","tm_index":"ffc09385-7cf0-4e7b-bf7e-71df087476c4","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"14","return_tote_max_m":"8","docreturn_max":"12","return_tote_qty_xl":14,"return_tote_qty_m":8,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070097
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 2
Doc Max.         : 7
G Tote L.        : 8
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 7
Send TMS         : {"truckload_index":"46207100-63ff-4256-9bb4-cb3b12e78393","truckload_no":"TM21070097","tm_index":"234fe42e-e8c1-4940-b4c3-d6b6f6c8448a","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"2","docreturn_max":"7","return_tote_qty_xl":8,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":7}
Send TMS Result  : False
Truckload No.    : TM21070042
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 19
Tote M Max.      : 8
Doc Max.         : 22
G Tote L.        : 19
G Tote M.        : 8
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 22
Send TMS         : {"truckload_index":"a6dafd05-99e4-4ab8-8bbc-cc22e2b4793a","truckload_no":"TM21070042","tm_index":"419b18f2-2b35-4749-b1e1-06f015f1cb29","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"19","return_tote_max_m":"8","docreturn_max":"22","return_tote_qty_xl":19,"return_tote_qty_m":8,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":22}
Send TMS Result  : False
Truckload No.    : TM21070019
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 5
Doc Max.         : 14
G Tote L.        : 15
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
Send TMS         : {"truckload_index":"718d1e6d-1660-44eb-9f7b-cc8847c491bf","truckload_no":"TM21070019","tm_index":"900e30b7-ece2-4562-89d4-85a4618edade","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"5","docreturn_max":"14","return_tote_qty_xl":15,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070107
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 11
Tote M Max.      : 4
Doc Max.         : 14
G Tote L.        : 11
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
